Código do fundo;Setor;Preço Atual;Liquidez Diária;Dividendo;DividendYield;DY (3M)Acumulado;DY (6M)Acumulado;DY (12M)Acumulado;DY (3M)Média;DY (6M)Média;DY (12M)Média;DY Ano;Variação Preço;Rentab.Período;Rentab.Acumulada;PatrimônioLíq.;VPA;P/VPA;DYPatrimonial;Rentab. Patr.no Período;Rentab. Patr.Acumulada;VacânciaFísica;VacânciaFinanceira;QuantidadeAtivos;VariaçãoPatrimonial
AFHI11;Títulos e Val. Mob.;98,55;9820;1,35;1,31;3,85;7,64;0;1,28;1,27;0;3,85;0,96;2,28;4,8;173824946,40;97,24;1,01;1,39;1,83;3,2;0;0;0;0,44
AFOF11;Títulos e Val. Mob.;89,22;1511;1,01;1,07;3,21;6,26;0;1,07;1,04;0;3,21;0,92;2;7,84;70721355,90;102,32;0,87;0,98;2,25;5,57;0;0;0;1,26
ARRI11;Títulos e Val. Mob.;95,22;1294;1,28;1,30;3,94;8,59;15,68;1,31;1,43;1,31;5,24;-0,5;0,79;3,48;98661892,22;94,11;1,01;1,42;3,58;6,18;0;0;0;2,12
BARI11;Títulos e Val. Mob.;100,00;6416;1,30;1,27;3,41;6,94;13,27;1,14;1,16;1,11;4,46;-0,06;1,21;2,08;472622336,79;101,99;0,98;1,08;1,45;3,74;0;0;0;0,37
BBFO11;Títulos e Val. Mob.;71,39;3143;0,77;1,05;3,03;5,96;10,31;1,01;0,99;0,86;4,14;1,52;2,58;5,7;343159634,51;85,71;0,83;0,9;1,18;2,46;0;0;0;0,28
BBGO11;Títulos e Val. Mob.;84,50;570;0,55;0,62;0;0;0;0;0;0;1,65;1,34;1,97;3,02;389653054,59;97,29;0,87;0,51;0,74;1,75;0;0;0;0,23
BBIM11;Títulos e Val. Mob.;0,00;0;0,25;0,00;0;0;0;0;0;0;0;0;0;0;50131088,62;48,44;0;0,52;3,24;4,36;0;0;0;2,71
BCFF11;Títulos e Val. Mob.;64,90;33987;0,54;0,81;2,4;4,63;8,52;0,8;0,77;0,71;3,15;-2,32;-1,53;-3,82;1971239952,12;78,27;0,83;0,69;0,46;1,15;0;0;0;-0,23
BCIA11;Títulos e Val. Mob.;81,66;3268;0,71;0,83;2,47;4,75;8,99;0,82;0,79;0,75;3,21;3,95;4,82;1,61;390172858,41;104,91;0,78;0,68;1,51;3,27;0;0;0;0,83
BCRI11;Títulos e Val. Mob.;107,13;7933;1,30;1,18;3,49;6,97;13,48;1,16;1,16;1,12;4,61;0,19;1,37;4,03;665487003,29;106,34;1,01;1,27;0,99;3,26;0;0;0;-0,28
BICE11;Títulos e Val. Mob.;1.000,00;24;5,40;0,00;0;0;0;0;0;0;0;0;0;0;10251457,87;924,30;1,08;0;0;0;0;0;0;0
BICR11;Títulos e Val. Mob.;96,53;7;1,10;1,12;2,61;4,4;6,97;0,87;0,73;0,58;3,11;1,24;2,38;7,18;49653430,26;99,31;0,97;1,11;0,89;2,75;0;0;0;-0,22
BLMR11;Títulos e Val. Mob.;7,22;70939;0,08;1,01;3,04;5,92;10,9;1,01;0,99;0,91;3,98;2,34;3,37;-3,12;211206561,37;8,27;0,87;0,91;1,16;0,32;0;0;0;0,25
BPFF11;Títulos e Val. Mob.;63,10;8050;0,65;1,00;2,86;5,55;10,18;0,95;0,93;0,85;3,73;1,01;2,02;-1,96;349649956,58;77,83;0,81;0,77;0,66;0,61;0;0;0;-0,11
BTCR11;Títulos e Val. Mob.;95,50;9692;1,28;1,33;3,81;6,92;11,71;1,27;1,15;0,98;4,95;-0,74;0,58;9,94;464617244,40;96,59;0,99;1,29;2,07;1,73;0;0;0;0,77
BZLI11;Títulos e Val. Mob.;14,70;44041;0,00;0,00;0;0;0;0;0;0;0;0,68;0,68;1,14;433186561,93;10,79;1,36;0;0;0;0;0;0;0
CCRF11;Títulos e Val. Mob.;100,16;163;1,20;1,21;3,62;0;0;1,21;0;0;3,62;-0,13;1,08;2,68;159364709,06;101,38;0,99;1,18;2,56;4,87;0;0;0;1,36
CPTS11;Títulos e Val. Mob.;94,64;67273;1,10;1,15;3,43;6,6;12,64;1,14;1,1;1,05;3,43;-0,95;0,19;1,54;2612266966,14;93,39;1,01;1,18;0,59;1,77;0;0;0;-0,58
CRFF11;Títulos e Val. Mob.;64,30;80;0,57;0,87;2,41;4,49;7,89;0,8;0,75;0,66;3,14;-2,39;-1,54;-2,74;60196836,20;87,24;0,74;0,65;2,41;4,32;0;0;0;1,75
CVBI11;Títulos e Val. Mob.;99,77;28187;1,50;1,48;3,67;6,97;12,99;1,22;1,16;1,08;4,77;-2,12;-0,67;4,15;1049143531,67;99,77;1;1,12;0,77;3,22;0;0;0;-0,35
CYCR11;Títulos e Val. Mob.;100,00;156;1,35;1,36;3,67;0;0;1,22;0;0;4,81;-0,79;0,56;3;61043125,79;95,51;1,05;1,2;2,46;3,71;0;0;0;1,24
DEVA11;Títulos e Val. Mob.;94,87;34466;1,40;1,43;3,9;7,83;15,12;1,3;1,31;1,26;5,1;-2,58;-1,18;-0,91;1348028900,42;96,94;0,98;1,35;1,85;4,1;0;0;0;0,49
EQIN11;Títulos e Val. Mob.;93,50;7984;1,33;1,41;3,8;7,24;12,59;1,27;1,21;1,05;2,8;0,23;1,65;3,07;138440850,85;95,28;0,98;0;0;0;0;0;0;0
EQIR11;Títulos e Val. Mob.;99,50;7;1,10;1,11;3,25;0;0;1,08;0;0;3,25;1,61;2,74;4,85;51240359,56;101,97;0,98;1,08;1,41;2,46;0;0;0;0,33
