Código do fundo;Setor;Preço Atual;Liquidez Diária;Dividendo;DividendYield;DY (3M)Acumulado;DY (6M)Acumulado;DY (12M)Acumulado;DY (3M)Média;DY (6M)Média;DY (12M)Média;DY Ano;Variação Preço;Rentab.Período;Rentab.Acumulada;PatrimônioLíq.;VPA;P/VPA;DYPatrimonial;Rentab. Patr.no Período;Rentab. Patr.Acumulada;VacânciaFísica;VacânciaFinanceira;QuantidadeAtivos;VariaçãoPatrimonial
RRCI11;Títulos e Val. Mob.;90,14;1433;1,30;1,41;4,25;7,95;13,62;1,42;1,32;1,13;5,56;4;5,47;13,74;47078878,45;97,72;0,92;1,33;1,41;4,13;0;0;0;0,07
RVBI11;Títulos e Val. Mob.;75,57;3029;0,75;0,97;2,86;5,6;10,66;0,95;0,93;0,89;3,78;-3,22;-2,28;-1,03;125552601,37;87,19;0,87;0,86;1,03;1,97;0;0;0;0,17
RZAG11;Títulos e Val. Mob.;10,15;115732;0,12;1,17;3,37;0;0;1,12;0;0;4,49;2,5;3,7;9,03;289666210,78;9,55;1,06;1,15;1,25;3,56;0;0;0;0,1
RZAK11;Títulos e Val. Mob.;99,00;13065;1,20;1,22;3,98;7,85;13,19;1,33;1,31;1,1;3,98;5,53;6,82;7,55;282821145,09;94,22;1,05;1,27;1,63;3,03;0;0;0;0,35
SADI11;Títulos e Val. Mob.;91,10;2783;0,90;0,98;2,97;5,4;8,29;0,99;0,9;0,69;3,86;1,93;2,93;5,69;320461836,58;100,77;0,9;0,89;0,83;3,76;0;0;0;-0,06
SNCI11;Títulos e Val. Mob.;103,91;9565;1,30;1,20;3,89;0;0;1,3;0;0;3,89;4,11;5,36;7,59;252128060,08;100,85;1,03;1,29;3,24;5,89;0;0;0;1,92
SNFF11;Títulos e Val. Mob.;82,80;10226;0,65;0,73;2,26;4,44;0;0,75;0,74;0;2,26;8,5;9,29;3,17;228274891,17;91,31;0,91;0,71;-0,35;0,35;0;0;0;-1,06
SRVD11;Títulos e Val. Mob.;7,17;11;0,10;1,01;0;0;0;0;0;0;1,01;0;1,01;1,01;114131701,23;1,19;6,05;16,87;16,74;25,64;0;0;0;-0,11
VCJR11;Títulos e Val. Mob.;96,08;3955;1,49;1,51;3,77;8,12;14,23;1,26;1,35;1,19;5,04;1,1;2,63;6,03;1354537151,94;94,71;1,01;1,57;0,95;5,72;0;0;0;-0,61
VGHF11;Títulos e Val. Mob.;9,99;239445;0,13;1,28;4,2;9,05;16,63;1,4;1,51;1,39;5,75;-1,36;-0,1;4,44;496676270,99;9,42;1,06;1,5;1,75;4,11;0;0;0;0,24
VGIA11;Títulos e Val. Mob.;10,75;86033;0,15;1,40;0;0;0;0;0;0;3,96;2,67;4,11;5,48;95747517,22;9,51;1,13;1,58;1,65;3,04;0;0;0;0,07
